date,T_Occupancy,T_time
08-04-2022,0,19:51:36
08-04-2022,3,20:43:53
08-04-2022,2,20:47:06
08-04-2022,1,20:47:57
08-04-2022,0,20:48:51
08-04-2022,2,22:25:21
08-04-2022,2,22:25:35
08-04-2022,2,22:26:17
08-04-2022,2,22:26:31
08-04-2022,2,22:26:56
08-04-2022,1,22:27:20
08-04-2022,2,22:31:38
08-04-2022,2,22:31:45
08-04-2022,2,22:32:02
08-04-2022,1,22:32:12
08-04-2022,2,22:32:23
08-04-2022,2,22:32:30
08-04-2022,2,22:32:51
08-04-2022,3,22:32:53
08-04-2022,2,22:32:59
08-04-2022,4,22:33:19
08-04-2022,1,22:36:14
08-04-2022,3,22:36:21
08-04-2022,2,22:36:35
08-04-2022,1,22:36:55
08-04-2022,2,22:41:07
08-04-2022,1,22:41:32
08-04-2022,1,22:42:03
08-04-2022,1,22:43:01
08-04-2022,1,22:43:15
08-04-2022,1,22:43:27
08-04-2022,1,22:44:03
08-04-2022,4,22:44:33
08-04-2022,1,22:44:46
08-04-2022,3,22:45:58
08-04-2022,4,22:50:49
08-04-2022,1,22:50:54
08-04-2022,4,22:51:02
08-04-2022,1,22:51:05
08-04-2022,2,23:04:40
08-04-2022,2,23:05:14
08-04-2022,3,23:10:33
08-04-2022,3,23:11:09
08-04-2022,4,23:16:30
08-04-2022,4,23:16:36
08-04-2022,2,23:16:57
08-04-2022,3,23:17:25
08-04-2022,3,23:18:43
08-04-2022,3,23:18:53
08-04-2022,3,23:19:18
08-04-2022,3,23:19:27
08-04-2022,4,23:20:40
08-04-2022,2,23:32:35
08-04-2022,2,23:33:23
08-04-2022,1,23:33:29
08-04-2022,2,23:33:45
08-04-2022,2,23:47:10
08-04-2022,3,23:47:37
08-04-2022,1,23:47:53
08-04-2022,3,23:48:36
08-04-2022,1,10:28:59
08-04-2022,0,10:29:04
08-04-2022,1,10:29:04
08-04-2022,1,10:29:16
08-04-2022,1,10:40:58
08-04-2022,0,10:41:06
08-04-2022,1,11:09:04
08-04-2022,0,11:09:15
08-04-2022,1,11:51:25
08-04-2022,1,11:52:04
08-04-2022,2,12:21:51
08-04-2022,1,12:22:59
08-04-2022,0,12:23:05
08-04-2022,1,12:23:40
08-04-2022,1,12:23:55
08-04-2022,2,12:33:21
08-04-2022,2,12:33:34
08-04-2022,0,12:36:08
08-04-2022,1,12:44:42
08-04-2022,0,12:46:13
08-04-2022,2,17:45:02
08-04-2022,2,17:45:25
08-04-2022,2,18:52:49
08-04-2022,2,18:53:05
08-04-2022,2,18:53:26
08-04-2022,2,18:53:26
08-04-2022,1,18:53:42
08-04-2022,1,18:54:03
08-04-2022,1,19:08:14
08-04-2022,1,19:08:29
08-04-2022,0,19:08:51
08-04-2022,2,19:21:07
08-04-2022,2,19:21:21
08-04-2022,2,19:22:00
08-04-2022,3,19:22:40
08-04-2022,0,19:22:59
08-04-2022,2,19:26:05
08-04-2022,0,19:26:06
08-04-2022,2,19:26:15
08-04-2022,1,19:26:16
08-04-2022,2,19:26:47
08-04-2022,1,19:26:53
08-04-2022,3,19:27:54
08-04-2022,1,19:28:01
08-04-2022,1,19:31:18
08-04-2022,1,19:31:56
08-04-2022,1,19:32:06
08-04-2022,2,19:32:59
08-04-2022,2,19:33:10
08-04-2022,1,19:33:41
08-04-2022,2,19:34:13
08-04-2022,2,19:34:34
08-04-2022,2,19:34:53
08-04-2022,2,19:35:13
08-04-2022,2,19:35:29
08-04-2022,4,19:36:52
08-04-2022,2,19:48:40
08-04-2022,1,19:48:49
08-04-2022,2,19:49:00
08-04-2022,1,19:49:22
08-04-2022,1,19:49:27
08-04-2022,1,20:16:10
08-04-2022,4,20:16:30
08-04-2022,1,20:16:43
08-04-2022,2,20:17:00
08-04-2022,1,21:16:58
08-04-2022,1,21:17:27
08-04-2022,2,22:23:20
08-04-2022,2,22:23:56
08-04-2022,1,22:24:01
08-04-2022,2,22:24:06
08-04-2022,1,22:24:12
08-04-2022,1,22:24:27
08-04-2022,3,22:59:05
08-04-2022,1,22:59:13
08-04-2022,1,23:00:09
08-04-2022,1,23:00:10
08-04-2022,1,23:00:21
08-04-2022,2,23:00:48
08-04-2022,1,23:01:19
08-04-2022,2,23:02:39
08-04-2022,2,23:02:50
08-04-2022,2,23:02:55
08-04-2022,3,23:02:58
08-04-2022,1,23:03:29
08-04-2022,2,23:04:40
08-04-2022,2,23:05:14
08-04-2022,4,23:08:10
08-04-2022,2,23:10:02
08-04-2022,3,23:10:33
08-04-2022,3,23:11:09
08-04-2022,0,23:14:12
08-04-2022,3,23:14:34
08-04-2022,3,23:14:42
08-04-2022,0,23:14:47
08-04-2022,4,23:22:32
08-04-2022,3,23:22:58
08-04-2022,3,23:23:35
08-04-2022,3,23:23:36
08-04-2022,3,23:24:31
08-04-2022,3,23:24:40
08-04-2022,2,23:25:16
08-04-2022,3,23:25:51
08-04-2022,3,23:26:03
08-04-2022,3,23:26:11
08-04-2022,1,23:26:15
08-04-2022,2,23:31:45
08-04-2022,2,23:32:35
08-04-2022,2,23:33:45
08-04-2022,2,23:33:54
08-04-2022,2,23:34:17
08-04-2022,0,23:34:31
08-04-2022,1,23:34:42
08-04-2022,1,23:35:11
08-04-2022,1,23:36:43
08-04-2022,0,23:36:44
08-04-2022,1,23:37:14
08-04-2022,0,23:37:27
08-04-2022,2,23:41:25
08-04-2022,1,23:41:36
08-04-2022,2,23:42:25
08-04-2022,3,23:43:07
08-04-2022,1,23:43:08
08-04-2022,1,23:43:24
08-04-2022,2,23:54:58
08-04-2022,2,23:55:03
08-04-2022,1,23:55:21
08-04-2022,2,23:56:36
08-04-2022,1,23:57:04
09-04-2022,2,2:06:47
09-04-2022,2,2:07:02
09-04-2022,2,2:07:20
09-04-2022,2,2:12:35
09-04-2022,3,2:12:39
09-04-2022,3,2:13:48
09-04-2022,2,2:14:08
09-04-2022,2,2:26:17
09-04-2022,3,2:27:08
09-04-2022,1,2:27:46
09-04-2022,0,2:27:50
09-04-2022,2,2:31:44
09-04-2022,3,2:32:19
09-04-2022,2,2:35:23
09-04-2022,2,2:35:38
09-04-2022,2,2:35:42
09-04-2022,2,2:35:45
09-04-2022,2,2:35:46
09-04-2022,1,2:35:52
09-04-2022,2,2:35:54
09-04-2022,3,2:36:29
09-04-2022,2,2:36:37
09-04-2022,2,2:36:41
09-04-2022,2,2:40:03
09-04-2022,2,2:40:15
09-04-2022,1,2:40:39
09-04-2022,1,2:40:57
09-04-2022,0,2:41:35
09-04-2022,2,2:43:41
09-04-2022,2,2:44:16
09-04-2022,2,2:44:52
09-04-2022,1,2:45:10
09-04-2022,1,2:45:22
09-04-2022,1,2:45:26
09-04-2022,2,2:46:07
09-04-2022,2,2:46:14
09-04-2022,3,2:46:27
09-04-2022,3,2:47:27
09-04-2022,0,2:47:50
09-04-2022,2,2:48:27
09-04-2022,2,2:49:00
09-04-2022,0,2:49:04
09-04-2022,2,2:49:33
09-04-2022,2,2:49:58
09-04-2022,2,2:50:01
09-04-2022,3,2:50:15
09-04-2022,2,2:50:29
09-04-2022,2,2:50:30
09-04-2022,2,2:50:55
09-04-2022,2,2:50:58
09-04-2022,2,2:51:07
09-04-2022,2,2:51:20
09-04-2022,1,2:51:27
09-04-2022,2,2:51:44
09-04-2022,1,2:51:48
09-04-2022,2,2:51:49
09-04-2022,1,2:52:19
09-04-2022,2,2:53:26
09-04-2022,2,2:53:28
09-04-2022,3,3:10:01
09-04-2022,3,3:10:10
09-04-2022,3,3:10:14
09-04-2022,3,3:10:37
09-04-2022,2,3:11:10
09-04-2022,2,3:11:48
09-04-2022,3,3:11:57
09-04-2022,2,3:12:07
09-04-2022,2,3:12:16
09-04-2022,2,3:13:21
09-04-2022,2,3:13:41
09-04-2022,2,3:13:57
09-04-2022,2,3:14:00
09-04-2022,1,3:14:16
09-04-2022,3,3:14:37
09-04-2022,3,3:14:49
09-04-2022,1,3:14:59
09-04-2022,2,3:25:48
09-04-2022,0,3:25:53
09-04-2022,2,3:28:01
09-04-2022,2,3:28:08
09-04-2022,1,3:28:09
09-04-2022,1,3:29:55
09-04-2022,0,3:30:53
09-04-2022,2,3:31:40
09-04-2022,0,3:32:02
09-04-2022,2,3:32:15
09-04-2022,2,3:32:37
09-04-2022,2,3:32:39
09-04-2022,1,3:32:46
09-04-2022,2,3:32:57
09-04-2022,1,3:33:24
09-04-2022,3,3:34:14
09-04-2022,3,3:34:22
09-04-2022,1,3:34:40
09-04-2022,2,3:34:53
09-04-2022,2,3:35:02
09-04-2022,2,3:35:07
09-04-2022,2,3:35:50
09-04-2022,2,3:36:03
09-04-2022,2,3:36:10
09-04-2022,2,3:36:27
09-04-2022,2,3:36:32
09-04-2022,1,3:36:49
09-04-2022,3,3:37:05
09-04-2022,1,3:37:15
09-04-2022,2,3:37:29
09-04-2022,3,3:38:00
09-04-2022,2,3:38:02
09-04-2022,3,3:38:10
09-04-2022,2,3:38:13
09-04-2022,1,3:43:42
09-04-2022,1,3:43:54
09-04-2022,1,3:44:18
09-04-2022,2,3:44:30
09-04-2022,1,3:44:40
09-04-2022,1,3:44:43
09-04-2022,3,3:44:49
09-04-2022,2,3:44:51
09-04-2022,1,3:45:00
09-04-2022,3,3:45:14
09-04-2022,2,3:45:23
09-04-2022,2,3:46:48
09-04-2022,2,3:46:52
09-04-2022,1,3:47:08
09-04-2022,1,3:47:38
09-04-2022,1,4:13:17
09-04-2022,2,4:13:33
09-04-2022,2,4:32:54
09-04-2022,1,4:33:10
09-04-2022,0,4:33:30
09-04-2022,2,4:34:30
09-04-2022,2,4:35:05
09-04-2022,2,4:35:19
09-04-2022,2,4:35:25
09-04-2022,2,4:35:38
09-04-2022,2,4:35:52
09-04-2022,4,4:39:13
09-04-2022,2,4:50:49
09-04-2022,2,4:51:02
09-04-2022,1,4:52:07
09-04-2022,2,5:05:03
09-04-2022,3,5:05:18
09-04-2022,3,5:05:44
09-04-2022,2,5:06:04
09-04-2022,2,5:06:46
09-04-2022,2,5:07:05
09-04-2022,2,5:07:26
09-04-2022,2,5:07:38
09-04-2022,3,5:09:47
09-04-2022,2,5:14:43
09-04-2022,1,5:14:50
09-04-2022,0,5:14:57
09-04-2022,1,5:15:04
09-04-2022,2,5:15:33
09-04-2022,3,5:16:19
09-04-2022,2,5:17:03
09-04-2022,2,5:17:23
09-04-2022,2,5:19:16
09-04-2022,3,5:22:56
09-04-2022,3,5:23:03
09-04-2022,1,5:23:37
09-04-2022,2,5:24:33
09-04-2022,2,5:25:52
09-04-2022,2,5:26:03
09-04-2022,3,5:26:41
09-04-2022,4,5:26:49
09-04-2022,3,5:28:55
09-04-2022,3,5:29:42
09-04-2022,3,5:30:09
09-04-2022,3,5:31:53
09-04-2022,0,5:33:04
09-04-2022,4,5:39:00
09-04-2022,2,5:39:59
09-04-2022,1,5:41:14
09-04-2022,1,5:43:11
09-04-2022,1,5:43:29
09-04-2022,0,5:45:41
09-04-2022,1,5:46:05
09-04-2022,2,5:46:12
09-04-2022,1,5:46:22
